id,userguid,username,name,description,type,range,value,weight,curseId,effectValue,damage,armorSlot,effectOn,effectToPc,effectToPcValue,weaponEffectType,weaponEffectColor,imageId,imageName,imagePath,imageAssetType,imageIsPublic,imageIsActive,soundId,soundName,soundPath,soundAssetType,soundIsPublic,soundIsActive,isPublic,isTwoHanded,uses,createdAt,updatedAt
229,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Amulet of Proof against Detection and Location,"While wearing this amulet, you are hidden from divination magic. You can't be targeted by such magic or perceived through magical scrying sensors.",other,1,500,1,,0,0,,,,0,Arcane,#8800cc,804,item-229-amulet-of-proof-against-detection-and-location.webp,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/item-229-amulet-of-proof-against-detection-and-location.webp,Item-Other,true,true,,,,,,,false,false,,2026-05-20 11:48:10.092904-05,2026-05-20 11:48:10.092904-05
230,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Amulet of the Planes,"While wearing this amulet, you can use an action to name a location that you are familiar with on another plane of existence. Then make a DC 15 Intelligence check. On a successful check, you cast the plane shift spell. On a failure, you and each creature and object within 15 feet of you travel to a random destination. Roll a d100. On a 1-60, you travel to a random location on the plane you named. On a 61-100, you travel to a randomly determined plane of existence.",other,1,50000,1,,0,0,,,,0,Arcane,#8800cc,805,item-230-amulet-of-the-planes.webp,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/item-230-amulet-of-the-planes.webp,Item-Other,true,true,,,,,,,false,false,,2026-05-20 11:48:10.176834-05,2026-05-20 11:48:10.176834-05
322,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Anchor Feather Token,This tiny object looks like a feather.,other,1,5000,1,,0,0,,,,0,Arcane,#8800cc,856,item-322-anchor-feather-token.webp,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/item-322-anchor-feather-token.webp,Item-Other,true,true,,,,,,,false,false,,2026-05-20 11:48:21.175844-05,2026-05-20 11:48:21.175844-05
231,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Animated Shield,"While holding this shield, you can speak its command word as a bonus action to cause it to animate. The shield leaps into the air and hovers in your space to protect you as if you were wielding it, leaving your hands free. The shield remains animated for 1 minute, until you use a bonus action to end this effect, or until you are incapacitated or die, at which point the shield falls to the ground or into your hand if you have one free.",armor,1,50000,1,,3,0,shield,,,0,Blood,#cc0000,18,Shield,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/1775749744062-3957c9cd-shield-one.jpg,Item-Armor,true,true,,,,,,,true,false,,2026-05-20 11:48:10.293925-05,2026-05-21 17:48:37.408339-05
39,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Antitoxin (vial),A creature that drinks this vial of liquid gains advantage on saving throws against poison for 1 hour. It confers no benefit to undead or constructs.,other,1,50,0,,0,0,,,,0,Blood,#cc0000,42,Potion Red,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/1776211773561-2c014a6f-potions2.jpg,Potion,true,true,,,,,,,false,false,,2026-05-20 11:04:12.539158-05,2026-05-21 17:41:48.584148-05
232,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Apparatus of the Crab,"This item first appears to be a Large sealed iron barrel weighing 500 pounds. The barrel has a hidden catch, which can be found with a successful DC 20 Intelligence (Investigation) check. Releasing the catch unlocks a hatch at one end of the barrel, allowing two Medium or smaller creatures to crawl inside. Ten levers are set in a row at the far end, each in a neutral position, able to move either up or down. When certain levers are used, the apparatus transforms to resemble a giant lobster.",other,1,100000,1,,0,0,,,,0,Arcane,#8800cc,806,item-232-apparatus-of-the-crab.webp,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/item-232-apparatus-of-the-crab.webp,Item-Other,true,true,,,,,,,false,false,,2026-05-20 11:48:10.413767-05,2026-05-20 11:48:10.413767-05
236,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Armor of Invulnerability,"You have resistance to nonmagical damage while you wear this armor. Additionally, you can use an action to make yourself immune to nonmagical damage for 10 minutes or until you are no longer wearing the armor. Once this special action is used, it can't be used again until the next dawn.",armor,1,100000,1,,5,0,Body,AC,,0,Arcane,#8800cc,18,Shield,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/1775749744062-3957c9cd-shield-one.jpg,Item-Armor,true,true,,,,,,,false,false,,2026-05-20 11:48:10.796037-05,2026-05-21 17:41:48.635256-05
237,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Armor of Resistance,You have resistance to one type of damage while you wear this armor. The GM chooses the type or determines it randomly from the options below.,armor,1,5000,1,,2,0,Body,AC,,0,Arcane,#8800cc,69,helmet,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/1777753269899-c0e84361-helmet.png,Item-Armor,true,true,,,,,,,false,false,,2026-05-20 11:48:10.876047-05,2026-05-21 17:41:48.635672-05
238,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Armor of Vulnerability,"While wearing this armor, you have resistance to  one of the following damage types: bludgeoning, piercing, or slashing. The GM chooses the type or determines it randomly.",armor,1,5000,1,,2,0,body,,,0,Blood,#cc0000,37,Leather Armor,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/1776738578503-c579e826-leatherbrestplate.jpg,Item-Armor,true,true,,,,,,,true,false,,2026-05-20 11:48:10.946564-05,2026-05-21 17:48:20.834963-05
233,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,"Armor, +1",You have a +1 bonus to AC while wearing this armor.,armor,1,5000,1,,1,0,Body,AC,,0,Arcane,#8800cc,18,Shield,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/1775749744062-3957c9cd-shield-one.jpg,Item-Armor,true,true,,,,,,,false,false,,2026-05-20 11:48:10.561408-05,2026-05-21 17:41:48.634309-05
234,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,"Armor, +2",You have a +2 bonus to AC while wearing this armor.,armor,1,50000,1,,2,0,Body,AC,,0,Arcane,#8800cc,37,Leather Armor,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/1776738578503-c579e826-leatherbrestplate.jpg,Item-Armor,true,true,,,,,,,false,false,,2026-05-20 11:48:10.642651-05,2026-05-21 17:41:48.634634-05
235,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,"Armor, +3",You have a +3 bonus to AC while wearing this armor.,armor,1,100000,1,,3,0,Body,AC,,0,Arcane,#8800cc,69,helmet,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/1777753269899-c0e84361-helmet.png,Item-Armor,true,true,,,,,,,false,false,,2026-05-20 11:48:10.717074-05,2026-05-21 17:41:48.634933-05
239,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Arrow-Catching Shield,"You gain a +2 bonus to AC against ranged attacks while you wield this shield. This bonus is in addition to the shield's normal bonus to AC. In addition, whenever an attacker makes a ranged attack against a target within 5 feet of you, you can use your reaction to become the target of the attack instead.",armor,1,5000,1,,2,0,,AC,,0,Arcane,#8800cc,24,Short Bow,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/1776207119573-bfb9a32d-shortbow.png,Item-Weapon,true,true,,,,,,,false,false,,2026-05-20 11:48:11.021635-05,2026-05-21 17:41:48.636686-05
240,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Arrow of Slaying,"An arrow of slaying is a magic weapon meant to slay a particular kind of creature. Some are more focused than others; for example, there are both arrows of dragon slaying and arrows of blue dragon slaying. If a creature belonging to the type, race, or group associated with an arrow of slaying takes damage from the arrow, the creature must make a DC 17 Constitution saving throw, taking an extra 6d10 piercing damage on a failed save, or half as much extra damage on a successful one.",other,1,50000,1,,0,0,,,,0,Arcane,#8800cc,24,Short Bow,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/1776207119573-bfb9a32d-shortbow.png,Item-Weapon,true,true,,,,,,,false,false,,2026-05-20 11:48:11.091756-05,2026-05-21 17:41:48.637246-05
41,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Backpack,Adventuring Gear.,other,1,2,5,,0,0,,,,0,Blood,#cc0000,699,item-41-backpack.webp,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/item-41-backpack.webp,Item-Other,true,true,,,,,,,false,false,,2026-05-20 11:04:12.747084-05,2026-05-20 11:04:12.747084-05
241,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Bag of Beans,Inside this heavy cloth bag are 3d4 dry beans. The bag weighs 1/2 pound plus 1/4 pound for each bean it contains.,other,1,5000,1,,0,0,,,,0,Arcane,#8800cc,807,item-241-bag-of-beans.webp,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/item-241-bag-of-beans.webp,Item-Other,true,true,,,,,,,false,false,,2026-05-20 11:48:11.1687-05,2026-05-20 11:48:11.1687-05
242,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Bag of Devouring,This bag superficially resembles a bag of holding but is a feeding orifice for a gigantic extradimensional creature. Turning the bag inside out closes the orifice.,other,1,50000,1,,0,0,,,,0,Arcane,#8800cc,808,item-242-bag-of-devouring.webp,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/item-242-bag-of-devouring.webp,Item-Other,true,true,,,,,,,false,false,,2026-05-20 11:48:11.605895-05,2026-05-20 11:48:11.605895-05
243,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Bag of Holding,"This bag has an interior space considerably larger than its outside dimensions, roughly 2 feet in diameter at the mouth and 4 feet deep. The bag can hold up to 500 pounds, not exceeding a volume of 64 cubic feet. The bag weighs 15 pounds, regardless of its contents. Retrieving an item from the bag requires an action.",other,1,500,1,,0,0,,,,0,Arcane,#8800cc,809,item-243-bag-of-holding.webp,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/item-243-bag-of-holding.webp,Item-Other,true,true,,,,,,,false,false,,2026-05-20 11:48:11.726472-05,2026-05-20 11:48:11.726472-05
42,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Bagpipes,"Several of the most common types of musical instruments are shown on the table as examples. If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.",other,1,30,6,,0,0,,,,0,Blood,#cc0000,700,item-42-bagpipes.webp,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/item-42-bagpipes.webp,Item-Other,true,true,,,,,,,false,false,,2026-05-20 11:04:12.845886-05,2026-05-20 11:04:12.845886-05
43,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,"Ball bearings (bag of 1,000)","As an action, you can spill these tiny metal balls from their pouch to cover a level, square area that is 10 feet on a side.",other,1,1,2,,0,0,,,,0,Blood,#cc0000,701,item-43-ball-bearings-bag-of-1-000.webp,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/item-43-ball-bearings-bag-of-1-000.webp,Item-Other,true,true,,,,,,,false,false,,2026-05-20 11:04:12.929843-05,2026-05-20 11:04:12.929843-05
44,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Barrel,Adventuring Gear.,other,1,2,70,,0,0,,,,0,Blood,#cc0000,702,item-44-barrel.webp,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/item-44-barrel.webp,Item-Other,true,true,,,,,,,false,false,,2026-05-20 11:04:14.283014-05,2026-05-20 11:04:14.283014-05
45,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Basket,Adventuring Gear.,other,1,1,2,,0,0,,,,0,Blood,#cc0000,703,item-45-basket.webp,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/item-45-basket.webp,Item-Other,true,true,,,,,,,false,false,,2026-05-20 11:04:14.371265-05,2026-05-20 11:04:14.371265-05
6,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Battle Axe,A single-headed axe made for brutal strikes.,weapon,1,15,7,,0,4,,,,0,Blood,#cc0000,29,Battle Axe,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/1776207507209-cbeb1e99-battle-axe1.jpg,Item-Weapon,true,true,,,,,,,true,false,,2026-04-26 16:03:07.994877-05,2026-04-26 16:03:07.994877-05
46,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Battleaxe,Martial Melee. Deals 1d8 Slashing damage. Two-handed: 1d10.,weapon,1,10,4,,0,8,,,,0,Blood,#cc0000,29,Battle Axe,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/1776207507209-cbeb1e99-battle-axe1.jpg,Item-Weapon,true,true,,,,,,,false,true,,2026-05-20 11:04:14.461846-05,2026-05-21 17:41:48.584926-05
247,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Bead of Force,"This small black Sphere measures 3/4 of an inch in diameter and weighs an ounce. Typically, 1d4 + 4 beads of force are found together.",other,1,5000,1,,0,0,,,,0,Arcane,#8800cc,813,item-247-bead-of-force.webp,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/item-247-bead-of-force.webp,Item-Other,true,true,,,,,,,false,false,,2026-05-20 11:48:12.186211-05,2026-05-20 11:48:12.186211-05
47,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Bedroll,Adventuring Gear.,other,1,1,7,,0,0,,,,0,Blood,#cc0000,704,item-47-bedroll.webp,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/item-47-bedroll.webp,Item-Other,true,true,,,,,,,false,false,,2026-05-20 11:04:14.564423-05,2026-05-20 11:04:14.564423-05
48,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Bell,Adventuring Gear.,other,1,1,0,,0,0,,,,0,Blood,#cc0000,705,item-48-bell.webp,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/item-48-bell.webp,Item-Other,true,true,,,,,,,false,false,,2026-05-20 11:04:14.66612-05,2026-05-20 11:04:14.66612-05
249,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Belt of Cloud Giant Strength,"While wearing this belt, your Strength score changes to 27. If your Strength is already equal to or greater than the belt's score, the item has no Effect on you.",other,1,100000,1,,0,0,,,,0,Arcane,#8800cc,815,item-249-belt-of-cloud-giant-strength.webp,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/item-249-belt-of-cloud-giant-strength.webp,Item-Other,true,true,,,,,,,false,false,,2026-05-20 11:48:12.449778-05,2026-05-20 11:48:12.449778-05
248,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Belt of Dwarvenkind,"While wearing this belt, you gain the following benefits:",other,1,5000,1,,0,0,,,,0,Arcane,#8800cc,814,item-248-belt-of-dwarvenkind.webp,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/item-248-belt-of-dwarvenkind.webp,Item-Other,true,true,,,,,,,false,false,,2026-05-20 11:48:12.268328-05,2026-05-20 11:48:12.268328-05
250,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Belt of Fire Giant Strength,"While wearing this belt, your Strength score changes to 25. If your Strength is already equal to or greater than the belt's score, the item has no Effect on you.",other,1,50000,1,,0,0,,,,0,Arcane,#8800cc,816,item-250-belt-of-fire-giant-strength.webp,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/item-250-belt-of-fire-giant-strength.webp,Item-Other,true,true,,,,,,,false,false,,2026-05-20 11:48:12.599844-05,2026-05-20 11:48:12.599844-05
251,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Belt of Frost Giant Strength,"While wearing this belt, your Strength score changes to 23. If your Strength is already equal to or greater than the belt's score, the item has no Effect on you.",other,1,50000,1,,0,0,,,,0,Arcane,#8800cc,817,item-251-belt-of-frost-giant-strength.webp,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/item-251-belt-of-frost-giant-strength.webp,Item-Other,true,true,,,,,,,false,false,,2026-05-20 11:48:12.693312-05,2026-05-20 11:48:12.693312-05
252,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Belt of Hill Giant Strength,"While wearing this belt, your Strength score changes to a 21. If your Strength is already equal to or greater than the belt's score, the item has no Effect on you.",other,1,5000,1,,0,0,,,,0,Arcane,#8800cc,818,item-252-belt-of-hill-giant-strength.webp,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/item-252-belt-of-hill-giant-strength.webp,Item-Other,true,true,,,,,,,false,false,,2026-05-20 11:48:12.770918-05,2026-05-20 11:48:12.770918-05
253,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Belt of Stone Giant Strength,"While wearing this belt, your Strength score changes to a 23. If your Strength is already equal to or greater than the belt's score, the item has no Effect on you.",other,1,50000,1,,0,0,,,,0,Arcane,#8800cc,49,Blue Magic Stone,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/1776520054135-ee263bff-blue-magic-stone.jpg,Item-Gem,true,true,,,,,,,false,false,,2026-05-20 11:48:12.855234-05,2026-05-21 17:41:48.637773-05
254,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Belt of Storm Giant Strength,"While wearing this belt, your Strength score changes to 29. If your Strength is already equal to or greater than the belt's score, the item has no Effect on you.",other,1,100000,1,,0,0,,,,0,Arcane,#8800cc,819,item-254-belt-of-storm-giant-strength.webp,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/item-254-belt-of-storm-giant-strength.webp,Item-Other,true,true,,,,,,,false,false,,2026-05-20 11:48:12.937997-05,2026-05-20 11:48:12.937997-05
255,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Berserker Axe,"You gain a +1 bonus to Attack and Damage Rolls made with this Magic Weapon. In addition, while you are attuned to this weapon, your Hit Points maximum increases by 1 for each level you have attained.",weapon,1,5000,1,,0,4,,,,0,Arcane,#8800cc,26,Halberd,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/1776207243225-8859b1b7-halberd3.png,Item-Weapon,true,true,,,,,,,false,false,,2026-05-20 11:48:13.021052-05,2026-05-21 17:41:48.638292-05
323,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Bird Feather Token,This tiny object looks like a feather.,other,1,5000,1,,0,0,,,,0,Arcane,#8800cc,857,item-323-bird-feather-token.webp,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/item-323-bird-feather-token.webp,Item-Other,true,true,,,,,,,false,false,,2026-05-20 11:48:21.264348-05,2026-05-20 11:48:21.264348-05
295,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Black Dragon Scale Mail,"Dragon scale mail is made of the scales of a black dragon. Sometimes dragons collect their cast-off scales and gift them to humanoids. Other times, hunters carefully skin and preserve the hide of a dead dragon. In either case, dragon scale mail is highly valued.",armor,1,50000,1,,1,0,Body,AC,,0,Arcane,#8800cc,37,Leather Armor,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/1776738578503-c579e826-leatherbrestplate.jpg,Item-Armor,true,true,,,,,,,false,false,,2026-05-20 11:48:17.91851-05,2026-05-21 17:41:48.644642-05
49,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Blanket,Adventuring Gear.,other,1,1,3,,0,0,,,,0,Blood,#cc0000,706,item-49-blanket.webp,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/item-49-blanket.webp,Item-Other,true,true,,,,,,,false,false,,2026-05-20 11:04:14.898702-05,2026-05-20 11:04:14.898702-05
50,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Block and tackle,"A set of pulleys with a cable threaded through them and a hook to attach to objects, a block and tackle allows you to hoist up to four times the weight you can normally lift.",other,1,1,5,,0,0,,,,0,Blood,#cc0000,707,item-50-block-and-tackle.webp,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/item-50-block-and-tackle.webp,Item-Other,true,true,,,,,,,false,false,,2026-05-20 11:04:15.002289-05,2026-05-20 11:04:15.002289-05
51,93074651-53ce-4b23-8031-2d6bd0d279da,DMMaster,Block of incense,"A block of incense, typically found in a priest's pack.",other,1,1,0,,0,0,,,,0,Blood,#cc0000,708,item-51-block-of-incense.webp,https://tdodj-user-content-dev.s3.amazonaws.com/users/93074651-53ce-4b23-8031-2d6bd0d279da/images/item-51-block-of-incense.webp,Item-Other,true,true,,,,,,,false,false,,2026-05-20 11:04:15.145024-05,2026-05-20 11:04:15.145024-05
